"tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres","role","averageRating","numVotes"
"tt0103074","movie","Thelma & Louise","Thelma & Louise",0,1991,"\N","130","Adventure,Crime,Drama","soundtrack",7.6,166998
"tt0103493","tvSeries","Millennium: Tribal Wisdom and the Modern World","Millennium: Tribal Wisdom and the Modern World",0,1992,"\N","\N","\N","music department",6.5,30
"tt0103493","tvSeries","Millennium: Tribal Wisdom and the Modern World","Millennium: Tribal Wisdom and the Modern World",0,1992,"\N","\N","\N","composer",6.5,30
"tt0104694","movie","A League of Their Own","A League of Their Own",0,1992,"\N","128","Comedy,Drama,Sport","composer",7.3,118175
"tt0105159","movie","The Power of One","The Power of One",0,1992,"\N","127","Drama,Sport","composer",7.1,10520
"tt0105159","movie","The Power of One","The Power of One",0,1992,"\N","127","Drama,Sport","soundtrack",7.1,10520
"tt0105211","movie","Radio Flyer","Radio Flyer",0,1992,"\N","114","Drama","music department",6.9,14006
"tt0105211","movie","Radio Flyer","Radio Flyer",0,1992,"\N","114","Drama","composer",6.9,14006
"tt0105629","movie","Toys","Toys",0,1992,"\N","118","Adventure,Comedy,Drama","music department",5.1,33208
"tt0105629","movie","Toys","Toys",0,1992,"\N","118","Adventure,Comedy,Drama","composer",5.1,33208
"tt0105629","movie","Toys","Toys",0,1992,"\N","118","Adventure,Comedy,Drama","soundtrack",5.1,33208
"tt0105809","movie","Where Sleeping Dogs Lie","Where Sleeping Dogs Lie",0,1991,"\N","95","Crime,Drama,Mystery","composer",4.5,1053
"tt0106144","tvSeries","Space Rangers","Space Rangers",0,1993,"1994","45","Action,Adventure,Sci-Fi","composer",6.6,575
"tt0106315","movie","Aspen Extreme","Aspen Extreme",0,1993,"\N","113","Drama,Romance,Sport","soundtrack",6,3152
"tt0106364","movie","Batman: Mask of the Phantasm","Batman: Mask of the Phantasm",0,1993,"\N","76","Action,Adventure,Animation","music department",7.8,55245
"tt0106505","movie","Calendar Girl","Calendar Girl",0,1993,"\N","90","Comedy,Drama","composer",5.1,2420
"tt0106505","movie","Calendar Girl","Calendar Girl",0,1993,"\N","90","Comedy,Drama","soundtrack",5.1,2420
"tt0106611","movie","Cool Runnings","Cool Runnings",0,1993,"\N","98","Adventure,Comedy,Family","composer",7,111047
"tt0107151","movie","The House of the Spirits","The House of the Spirits",0,1993,"\N","145","Drama,Romance","music department",6.9,24477
"tt0107151","movie","The House of the Spirits","The House of the Spirits",0,1993,"\N","145","Drama,Romance","composer",6.9,24477
"tt0107415","tvMovie","Lifepod","Lifepod",0,1993,"\N","89","Mystery,Sci-Fi,Thriller","music department",5.5,1208
"tt0107843","movie","Point of No Return","Point of No Return",0,1993,"\N","109","Action,Crime,Drama","composer",6.1,29669
"tt0108171","movie","Sniper","Sniper",0,1993,"\N","98","Action,Thriller,War","music department",6.1,25125
"tt0108399","movie","True Romance","True Romance",0,1993,"\N","119","Crime,Drama,Romance","composer",7.9,237936
"tt0108399","movie","True Romance","True Romance",0,1993,"\N","119","Crime,Drama,Romance","soundtrack",7.9,237936
"tt0108636","movie","Younger and Younger","Younger and Younger",0,1993,"\N","99","Comedy,Drama,Fantasy","composer",4.9,629
"tt0108734","tvSeries","The Critic","The Critic",0,1994,"2001","522","Animation,Comedy,Drama","music department",7.9,8916
"tt0109676","movie","Drop Zone","Drop Zone",0,1994,"\N","101","Action,Adventure,Thriller","music department",5.6,21325
"tt0109676","movie","Drop Zone","Drop Zone",0,1994,"\N","101","Action,Adventure,Thriller","composer",5.6,21325
"tt0110097","movie","I'll Do Anything","I'll Do Anything",0,1994,"\N","115","Comedy,Drama","composer",5.5,2815
"tt0110357","movie","The Lion King","The Lion King",0,1994,"\N","88","Adventure,Animation,Drama","music department",8.5,1113998
"tt0110357","movie","The Lion King","The Lion King",0,1994,"\N","88","Adventure,Animation,Drama","music department",8.5,1113998
"tt0110357","movie","The Lion King","The Lion King",0,1994,"\N","88","Adventure,Animation,Drama","composer",8.5,1113998
"tt0110357","movie","The Lion King","The Lion King",0,1994,"\N","88","Adventure,Animation,Drama","soundtrack",8.5,1113998
"tt0110357","movie","The Lion King","The Lion King",0,1994,"\N","88","Adventure,Animation,Drama","soundtrack",8.5,1113998
"tt0110557","movie","Monkey Trouble","Monkey Trouble",0,1994,"\N","96","Adventure,Comedy,Crime","music department",5.3,7109
"tt0110910","movie","Pterodactyl Woman from Beverly Hills","Pterodactyl Woman from Beverly Hills",0,1996,"\N","97","Comedy","music department",4.6,258
"tt0110971","movie","Renaissance Man","Renaissance Man",0,1994,"\N","128","Comedy,Drama","composer",6.2,18742
"tt0112495","movie","Beyond Rangoon","Beyond Rangoon",0,1995,"\N","100","Action,Adventure,Drama","music department",6.5,5400
"tt0112495","movie","Beyond Rangoon","Beyond Rangoon",0,1995,"\N","100","Action,Adventure,Drama","composer",6.5,5400
"tt0112740","movie","Crimson Tide","Crimson Tide",0,1995,"\N","116","Action,Drama,Thriller","composer",7.3,120595
"tt0113986","movie","Nine Months","Nine Months",0,1995,"\N","103","Comedy,Romance","composer",5.5,38154
"tt0114496","movie","Something to Talk About","Something to Talk About",0,1995,"\N","106","Comedy,Drama,Romance","composer",5.7,15612
"tt0115202","tvSeries","High Incident","High Incident",0,1996,"1997","60","Crime,Drama","music department",7.7,426
"tt0115759","movie","Broken Arrow","Broken Arrow",0,1996,"\N","108","Action,Adventure,Thriller","music department",6.1,103600
"tt0115759","movie","Broken Arrow","Broken Arrow",0,1996,"\N","108","Action,Adventure,Thriller","composer",6.1,103600
"tt0115759","movie","Broken Arrow","Broken Arrow",0,1996,"\N","108","Action,Adventure,Thriller","soundtrack",6.1,103600
"tt0116277","movie","The Fan","The Fan",0,1996,"\N","116","Action,Drama,Sport","composer",5.9,50641
"tt0116277","movie","The Fan","The Fan",0,1996,"\N","116","Action,Drama,Sport","soundtrack",5.9,50641
"tt0117110","movie","Muppet Treasure Island","Muppet Treasure Island",0,1996,"\N","99","Action,Adventure,Comedy","music department",6.9,25874
"tt0117110","movie","Muppet Treasure Island","Muppet Treasure Island",0,1996,"\N","99","Action,Adventure,Comedy","composer",6.9,25874
