cname,tname,year,role,,,,
Danny Elfman,Fable,2004,music department,8.4,"Action, Adventure, Fantasy",Peter Molyneux,"Create your life story from childhood to death. Grow from an inexperienced adolescent into the most powerful being in the world. Choose the path of righteousness or dedicate your life to evil. Muscles expand with each feat of strength; force of will increases with each work of wit. Obesity follows gluttony, skin tans with exposure to sunlight and bleaches bone-white by moonlight. Earn scars in battle and lines of experience with age. Each person you aid, each flower you crush, each creature you slay, will change this world forever."
Danny Elfman,Spider-Man 2,2004,music department,7.5,"Action, Adventure, Sci-Fi",Sam Raimi,"Peter Parker is an unhappy man: after two years of fighting crime as Spider-Man, his life has begun to fall apart. The girl he loves is engaged to someone else, his grades are slipping, he cannot keep any of his jobs, and on top of it, the newspaper Daily Bugle is attacking him viciously, claiming that Spider-Man is a criminal. He reaches the breaking point and gives up the crime fighter's life, once and for all. But after a failed fusion experiment, eccentric and obsessive scientist Dr. Otto Octavius is transformed into super villain Doctor Octopus, Doc Ock for short, having four long tentacles as extra hands. Peter guesses it might just be time for Spider-Man to return, but would he act upon it?"
Danny Elfman,Batman: Rise of Sin Tzu,2003,music department,7,"Action, Adventure, Crime, Sci-Fi, Thriller",Pascal Colpron,"In Batman: Rise of Sin Tzu, a new villain who feeds off of dominance is in search of a new, difficult opponent. In Asia he hd heard of the Dark Knight of Gotham City, Batman, and has set up a scheme which is so evil, Batman requires the help of his three partners, Nightwing, Robin, and Batgirl."
Danny Elfman,The Simpsons: Hit & Run,2003,music department,8.3,"Animation, Action, Adventure, Comedy, Crime, Mystery, Sci-Fi",,"Something weird is happening in the town of Springfield and as usual, the Simpsons are right in the middle of it. Tiny cameras disguised as wasps are flying about. Mysterious black vans seem to be spying on the citizens. A new soda appears to be making people crazy. And while all this is going on, Bart Simpson disappears, apparently by a UFO. It's up to Homer and his family to solve the mystery."
Danny Elfman,Hulk,2003,music department,5.6,"Action, Sci-Fi",Ang Lee,Bruce is an ordinary Gamma expert who one day gets blasted with radiation and somehow survives. But in the process a monster was born. Now whenever he gets angry he grows bigger and stronger until he is no longer Bruce Banner. He becomes The Hulk
Danny Elfman,Chicago,2002,music department,7.2,"Comedy, Crime, Musical",Rob Marshall,Murderesses Velma Kelly (Catherine Zeta-Jones) (a chanteuse and tease who killed her husband and sister after finding them in bed together) and Roxie Hart (Renée Zellweger) (who killed her boyfriend when she discovered he wasn't going to make her a star) find themselves on death row together and fight for the fame that will keep them from the gallows in 1920s Chicago.
Danny Elfman,The Simpsons: Skateboarding,2002,music department,3.6,"Action, Comedy, Sport",,"A skateboarding competition has come to Springfield. The $$Mega-bucks$$ prize involves winning $99. This is enticing enough to bring Simpsons characters to start skateboarding. The plot is not communicated in the game itself, this is only mentioned on the boxart."
Danny Elfman,Red Dragon,2002,music department,7.2,"Crime, Drama, Thriller",Brett Ratner,"After escaping death by the skin of his teeth while on the hunt for the elusive madman, Dr Hannibal Lecter, the now-retired and emotionally scarred FBI agent, Will Graham, finds himself back in action. Reluctantly, as yet another monstrous serial killer known as ""The Tooth Fairy"" terrorises Baltimore, Graham turns to Lecter, the evil mastermind who's been under lock and key for three long years, to lend a hand in this challenging and time-sensitive case. But, to delve deep into the demented mind of a killer, one must first face his inner demons, and Will already knows that his insane imprisoned assistant is a gifted manipulator. Can Graham find the horrifying Red Dragon in time before another family suffers?"
Danny Elfman,The Simpsons: Road Rage,2001,music department,7.3,"Action, Comedy, Family",,N/A
Danny Elfman,Novocaine,2001,music department,5.8,"Comedy, Crime, Drama, Thriller",David Atkins,"Dr. Frank Sangster is a straitlaced dentist who, because of one innocent lie, finds his tidy, prosperous life transformed into a comic quagmire of illicit sex, illegal drugs, and inexplicable murder in this brilliantly offbeat, bitingly comedic film."
Danny Elfman,The Simpsons: Wrestling,2001,music department,4.8,"Action, Comedy, Family, Sport",,"The Simpsons Wrestling is an all-out, humorous 3-D wrestling/fighting game featuring the characters and locations of the popular TV satire The Simpsons. Players take on the identity of their favorite Simpsons characters as they battle their way to the ultimate title ""Champion of Springfield"" The game emphasizes wacky physical and verbal comedy within familiar, graphically detailed venues throughout Springfield."
Danny Elfman,Heartbreakers,2001,music department,6.2,"Comedy, Crime, Romance",David Mirkin,"Max and Page Conners are a mother-and-daughter con team. Max singles out wealthy men and convinces them to marry her. Once married, Page seduces him, ensuring that Max catches them in the act. Cue divorce proceedings and a large settlement. What could possibly go wrong, except maybe falling in love?"
Danny Elfman,The Family Man,2000,music department,6.8,"Comedy, Drama, Fantasy, Romance",Brett Ratner,"A modern-day Frank Capra story. Jack Campbell, a successful and talented businessman, is happily living his single life. He has everything, or so he thinks. One day he wakes up in a new life where he didn't leave his college girlfriend for a London trip. He's married to Kate, lives in New Jersey and has two kids. He, of course, desperately wants his life back for which he has worked 13 years for. He's president of P. K. Lassiter Investment House and not a tire salesman at Big Ed's. He drives a Ferrari and not a mini-van that never starts. And most importantly he doesn't wake up in the morning with kids jumping on the bed. After a bad start, day by day he's more confident in his new life and starts to see what he's been missing. Turns out money's good to have but that's not everything."
Danny Elfman,Proof of Life,2000,music department,6.3,"Action, Drama, Thriller",Taylor Hackford,"Americans Alice and Peter Bowman have traveled from third world country to third world country working on humanitarian projects. They are currently in Tecala, a country nestled in the Andes, as Peter, an engineer, has been hired by QUAD Carbon, an oil company - the moral ""enemy"" - to lead a project to construct a dam to prevent what is the constant flooding in the country. Alice and Peter eventually learn that QUAD Carbon cares nothing about the dam, which is just a smoke-screen to get an oil pipeline approved and built. Despite loving each other, they have had problems in the marriage of late because of being in Tecala, where Alice has not been able to find her place, and needing to deal with the aftermath of Alice's recent miscarriage. On his way to work one day, Peter, along with a group of others, are random kidnap victims of left wing guerrillas, the Liberation Army of Tecala (ELT), whose reason for being has changed from a political agenda to a monetary one, primarily getting said money through kidnapping and the drug trade in cocaine. The ELT may believe they can get good money for Peter being an oil company executive, despite he not being wealthy as he is not on the oil side of the business. Luthan Risk International, who is the contracted agency for QUAD Carbon's kidnap and ransom (K&R) requirements, dispatches Australian-British Terry Thorne to negotiate Peter's release, Terry an ex-special ops soldier who is known as the best in the business within his own circles. But QUAD Carbon's financial troubles may prevent Terry or anyone else from Luthan Risk helping to get Peter back. Regardless, Alice has to decide whether to trust Terry, the global expert, or locals assigned by QUAD Carbon whose actions are on the surface more promising despite Terry's assertions to the contrary. All, however, need constant proof that Peter is indeed still alive to continue with their work to get him back. But what Alice and Terry begin to feel for each other ultimately factors into what they decide to do in relation to Peter."
Danny Elfman,The World of Stainboy,2000,music department,6.9,"Animation, Short",,N/A
Danny Elfman,Dilbert,1999,music department,7.3,"Animation, Comedy",,"Dilbert is a cubicle dwelling employee for a large soulless corporation. Along with his cynical and under-motivated co-workers, he labors fruitlessly under the bone-headed leadership of the Pointy-Haired Boss. Occasionally Dogbert, Dilbert's super-intelligent dog, gets Dilbert caught up in another wild money-making scheme, to Dilbert's regret."
Danny Elfman,Troldspejlet,1999,music department,8.8,News,,N/A
Danny Elfman,Simpsons Bowling,1999,music department,6,Sport,,N/A
Danny Elfman,Instinct,1999,music department,6.5,"Drama, Thriller",Jon Turteltaub,"Nearly two years after having gone amiss in Africa, renowned anthropologist Dr. Ethan Powell (Sir Anthony Hopkins) is caught committing a crime and subsequently imprisoned in a Florida mental institution, where aspiring psychiatrist Dr. Theo Caulder (Cuba Gooding, Jr.) takes over his important case. Dr. Powell, who has been with a group of gorillas during all that time, is not talking at all, and seems to be living in a dreamworld. Very slowly, Dr. Caulder manages to reach Ethan and starts finding out why he killed two of the poachers. Yet, Theo's case is not just about why the murders have happened, but also about how Dr. Powell became the being he is in the first place. With Ethan's silence broken, Theo is introduced into a world beyond common human comprehension: The true nature of being. He learns that mankind's control of everything is a mere illusion and that the true values of existence can't be found so easily. Ethan changes Theo's view of things forever."
Danny Elfman,A Civil Action: In Pusuit of Justice,1998,music department,N/A,Documentary,Donna Kanter,N/A
Danny Elfman,Psycho Path,1998,music department,6.2,"Documentary, Short",D-J Haanraadts,N/A
Danny Elfman,A Civil Action,1998,music department,6.6,Drama,Steven Zaillian,"Jan Schlichtmann, a tenacious lawyer, is addressed by a group of families. When investigating the seemingly non-profiting case, he finds it to be a major environmental issue that has a lot of impact potential. A leather production company could be responsible for several deadly cases of leukemia, but also is the main employer for the area. Schlichtmann and his three colleagues set out to have the company forced to decontaminate the affected areas, and of course to sue for a major sum of compensation. But the lawyers of the leather company's mother company are not easy to get to, and soon Schlichtmann and his friends find themselves in a battle of mere survival."
Danny Elfman,Psycho,1998,music department,4.6,"Horror, Mystery, Thriller",Gus Van Sant,"Marion Crane steals a lot of cash from a man whom her boss is in business with. On the way to see her boyfriend, she stops off by an old motel, run by the odd Norman Bates. She is murdered in the shower. Her sister, boyfriend, and a private investigator try to find out where she is, while we learn more about Norman Bates."
Danny Elfman,Modern Vampires,1998,music department,4.5,"Comedy, Horror, Romance",Richard Elfman,"Count Dracula is in L.A., running a hideous club scene, and he's angry that a rogue vampire, posing as a streetwalker, is slashing. He's also unhappy that Dallas, a youthful undead and former protégé, is in town. The rogue slasher, Nico, serendipitously picks Dallas as a victim; after discovering each other's nature, they become lovers. In fear of the Count, Dallas's coterie urges him to kill Nico, but he refuses. Meanwhile, a Viennese vampire hunter, Van Helsing, arrives in L.A. and hires the Crips to help him. They're soon following Nico and Dallas. When they capture her, Dallas wants to deal: spare Nico and he'll lead the hunters to Dracula. It's time for stake and bake."
Danny Elfman,Batman & Mr. Freeze: SubZero,1998,music department,7.1,"Animation, Action, Crime, Drama, Sci-Fi, Thriller",Boyd Kirkland,"Mr. Freeze is living in the arctic with his cryogenically-frozen wife. When a submarine destroys her containment capsule, he has to find someone to ""donate"" a new heart for her. His search turns up one donor with the right blood type: Barbara (Batgirl) Gordon. Her kidnapping sends Batman and Robin on a hurried chase to free her in time."
Danny Elfman,Scream 2,1997,music department,6.3,"Horror, Mystery",Wes Craven,"Two years after the events of Scream, Sidney Prescott and Randy are attending Windsor college. They are trying to get on with their lives...Until a new Ghostface killing spree begins. With the help of Dewey and Gale, Sidney must find out who's behind the murders. As the body count goes up, the list of suspects goes down."
Danny Elfman,Good Will Hunting,1997,music department,8.3,"Drama, Romance",Gus Van Sant,"A touching tale of a wayward young man who struggles to find his identity, living in a world where he can solve any problem, except the one brewing deep within himself, until one day he meets his soul mate who opens his mind and his heart."
Danny Elfman,Perversions of Science,1997,music department,6.2,"Action, Comedy, Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",,"A science-fiction anthology series with all the twists and turns of ""The Twilight Zone"", but with all the sex and violence that cable TV allows. Hosted by the sexy, but metallic Chrome, each episode presents a tour to the edges of the unknown, where the realities we have come to know and love turn sinister and unpredictable."
Danny Elfman,The Simpsons: Virtual Springfield,1997,music department,6.6,"Adventure, Comedy",,N/A
Danny Elfman,Farewell: Live from the Universal Amphitheatre Halloween 1995,1996,music department,8.9,"Documentary, Music",Scott Palazzo,N/A
Danny Elfman,Mars Attacks!,1996,music department,6.4,"Comedy, Sci-Fi",Tim Burton,"It is a normal day for everyone, until President of the United States James Dale (Jack Nicholson) announces Martians have been spotted circling Earth. The Martians land and a meeting is arranged, but not everything goes to plan, and the Martians seem to have other plans for Earth. Are they just misunderstood beings or do they really want to destroy all of humanity?"
Danny Elfman,Extreme Measures,1996,music department,6.2,"Crime, Drama, Mystery, Thriller",Michael Apted,"Thriller about Guy Luthan (Hugh Grant), a British doctor working at a hospital in New York. He starts to make unwanted inquiries when the body of a man who died in his emergency room disappears. The trail leads Luthan to the door of eminent surgeon Dr. Lawrence Myrick (Gene Hackman), but Luthan soon finds himself in danger from people who want the hospital's secret to remain undiscovered."
Danny Elfman,Bordello of Blood,1996,music department,5.4,"Comedy, Fantasy, Horror",Gilbert Adler,The old bag of bones 'Cryptkeeper' returns for his second full length feature flick about a funeral home that's a front for a whorehouse run by vampires.
Danny Elfman,The Simpsons: Cartoon Studio,1996,music department,7.2,Comedy,,N/A
Danny Elfman,Tales from the Crypt,1989,music department,8,"Comedy, Crime, Horror, Thriller",,"Half-hour stories with many themes, including; horror, twists, black-magic, and science fiction Introduced by a puppet called ""The Crypt Keeper."" A cross between The Twilight Zone (1959) and modern horror movies. Not suitable for the very young or squeamish."
Danny Elfman,Darkman III: Die Darkman Die,1996,music department,4.7,"Action, Crime, Horror, Sci-Fi, Thriller",Bradford May,"Darkman, needing money to continue his experiments on synthetic skin, steals a crate of cash from drug lord Peter Rooker, attracting the gangster's attention. Rooker is determined to find the source of Darkman's super strength, and uses his beautiful but evil doctor to lure Darkman into a trap. Thinking that the doctor will restore feeling to his tortured body, he discovers too late that they have taken a sample of his adrenaline, which they will market as a super steroid. As Darkman plans his revenge on Rooker's gang, he slowly begins to care about Rooker's neglected wife and daughter. He must now find a way to help them, and destroy Rooker before he uses the adrenaline to plunge the city into chaos."
Danny Elfman,Dead Presidents,1995,music department,6.9,"Action, Crime, Drama, Thriller, War","Albert Hughes, Allen Hughes","This action film, directed by the Hughes brothers, depicts a heist of old bills, retired from circulation and destined by the government to be ""money to burn."" However, more broadly, it addresses the issues of Black Americans' involvement in the Vietnam War and their subsequent disillusionment with progress in social issues and civil rights back home in the United States, during the 1960's."
Danny Elfman,Batman: The Animated Series,1992,music department,9,"Animation, Action, Adventure, Crime, Family, Mystery, Sci-Fi",,"Heir to the Wayne family fortune, Bruce Wayne (Kevin Conroy) lives by day as a seemingly lavish playboy millionaire socialite, but by night assumes the role of his crime-fighting alter-ego: the caped crusader known as The Batman. Throughout the show, Batman receives help from sidekicks Dick Grayson/Robin (Loren Lester) and Barbara Gordon/Batgirl (Melissa Gilbert), as well as Police Commissioner James Gordon (Bob Hastings), in protecting the streets of Gotham City from a large rogue's gallery of criminals, lunatics, and nemeses."
Danny Elfman,Darkman II: The Return of Durant,1995,music department,5.1,"Action, Crime, Horror, Sci-Fi, Thriller",Bradford May,"Darkman, who has, since the first film, devoted his life to perfecting his synthetic skin and fighting crime, is horrified to learn that his old foe, Robert G. Durant, is alive. Durant wastes no time taking control of his old business. He releases an insane weapons developer from a mental institution, and uses him to create a deadly laser weapon. Now, with the help of his disguises and inhuman strength, Darkman must forever rid the world of Durant."
Danny Elfman,Dolores Claiborne,1995,music department,7.4,"Crime, Drama, Mystery, Thriller",Taylor Hackford,"Instead of heading to Arizona for her next big story in what has been her illustrious career in her relatively young life, New York based investigative journalist Selena St. George heads to her hometown on a small island just off the coast of Jonesport, Maine upon receiving a fax from an anonymous sender that her mother, Dolores Claiborne, is the only suspect in what looks to be the murder of her wealthy employer of twenty-three years, Vera Donovan. Dolores, who reassumed her maiden name following the death of Selena's father, Joe St. George, started working as one of Vera's domestics upon her moving permanently into what used to be the Donovans' summer house after Jack Donovan's passing, Dolores ultimately moving into the Donovan house full time as her caregiver when Vera required 'round the clock care. Dolores' employment, which was solely to save money for Selena's education, was despite miserly and overly particular Vera only paying a pittance. Selena has been estranged from Dolores for fifteen years, when Selena went away to college at Vassar on a full scholarship, on Selena's belief not only that her mother killed her father when she was thirteen - the death ultimately ruled accidental - but the trauma she endured at the hands of townsfolk who believed the same in their often anonymous taunts. Selena still suffers emotionally from the trauma, she resorting to various means of self-medication. Detective John Mackey, who led the investigation, believed the same, this case the only blemish in his otherwise perfect career. He, leading the investigation into Vera's death, has seemingly had it in for Dolores for eighteen years, and already has it in his mind that if she could kill Joe, she could just as easily have killed Vera, with a strong underlying motive beyond the seemingly open dislike the two had for each other in their mutual name calling. As Dolores and Selena are forced to move back into what has largely been the closed-up St. George house for however long Selena will be staying on the island, old memories come back to haunt both of them, with the truth behind what happened eighteen years ago and thus what happened with Vera buried deep within those memories in the house."
Danny Elfman,Tales from the Crypt: Demon Knight,1995,music department,6.7,"Action, Fantasy, Horror, Thriller",Ernest R. Dickerson,"Brayker is a man who carries the last of seven keys, special containers which held the blood of Christ and were scattered across the universe to prevent the forces of evil from taking over. If The Collector gets the last key, the universe will fall into Chaos, and he has been tracking Brayker all the way to a small inn in a nowhere town. And now the final battle for the universe begins......"
Danny Elfman,Shrunken Heads,1994,music department,5,"Comedy, Horror, Thriller",Richard Elfman,N/A
Danny Elfman,The Nightmare Before Christmas,1993,music department,7.9,"Animation, Family, Fantasy, Musical",Henry Selick,"Jack Skellington, the pumpkin king of Halloween Town, is bored with doing the same thing every year for Halloween. One day he stumbles into Christmas Town, and is so taken with the idea of Christmas that he tries to get the resident bats, ghouls, and goblins of Halloween Town to help him put on Christmas instead of Halloween -- but alas, they can't get it quite right."
Danny Elfman,Family Dog,1993,music department,6.9,"Animation, Family, Comedy",,N/A
Danny Elfman,Flash III: Deadly Nightshade,1992,music department,6.9,"Action, Sci-Fi",Bruce Bilson,"Decades before The Flash was running around, Central City had another protector, The Nightshade. After defeating his greatest enemy, the technological mastermind, The Ghost, he went into retirement. In the present day however, The Ghost has reemerged from suspended animation to wreak havoc in his future world. To stop him, The Flash needs the help of The Nightshade to confront this revitalized menace. In another story, another man has taken the Nightshade identity to conduct his own murderously bloody war on crime while The Flash and the original Nightshade doggedly hunt him down."
Danny Elfman,Army of Darkness,1992,music department,7.4,"Comedy, Horror",Sam Raimi,"As the unfathomable tentacles of evil spread across time and space, Ash finds himself whisked off to another dimension, right after the supernatural events of Evil Dead II (1987). Now, trapped in the distant Middle Ages, circa 1300 AD, battle-scarred Ash must fight tooth and nail against the same old adversary he confronted in The Evil Dead (1981). However, this time, he is neck-deep in trouble: not one, not two demons, but the entire army of darkness is after Ash, thirsting for his soul. And what's more, there is no turning back. Can the guy with the chainsaw and the 12-gauge double-barrelled shotgun blast evil to smithereens and save both worlds from the curse of the mystical Necronomicon?"
Danny Elfman,Batman Returns,1992,music department,7.1,"Action, Crime, Fantasy",Tim Burton,"In the sewers of Gotham City to the rooftops of the Gotham City, the Penguin (Danny DeVito) wants to know from where he came. Catwoman (Michelle Pfeiffer) plans to kill rich man of Gotham Max Shreck (Christopher Walken) but as he battles with millionaire Bruce Wayne (Michael Keaton) both ladies' men have their own secrets. Bruce Wayne is back as Batman trying to stop the penguin; Max is helping Penguin steal Gotham City while Selina Kyle/Catwoman tries to help Penguin not knowing her man murder target also her murder is helping him but all four men have their goals taking Gotham from crime-winning Gotham City assassination for two men and more money to be Gotham City's number one rich man."
Danny Elfman,The Simpsons: Bart vs. the World,1991,music department,5.2,"Action, Adventure, Comedy, Family",,"Bart wins a painting contest and embarks on a round-the-world treasure hunt. Unbeknownst to him, the contest was rigged by Mr. Burns, who hates the Simpson family so much he has vowed to destroy them with the help of his relatives in China (Fu Manchu Burns), the North Pole (Abominable Snow Burns), Egypt (Ramses Burns) and Hollywood (Eric von Burns)."
Danny Elfman,Beetlejuice,1989,music department,7.3,"Animation, Short, Adventure, Comedy, Family, Fantasy, Horror",,"Loosely based on the film of the same name, this show features Beetlejuice, a wild ghost from the ""Neitherworld,"" and his mortal best friend, a young girl named Lydia."
Danny Elfman,Bart Simpson's Escape from Camp Deadly,1991,music department,5.8,"Action, Adventure, Comedy",,N/A
Danny Elfman,Pure Luck,1991,music department,5.8,"Comedy, Crime, Mystery",Nadia Tass,"The daughter of a wealthy businessman has disappeared in Mexico, and all the efforts to find her have been unsuccessful. A psychologist, knowing that the girl has ultra bad luck, persuades her father to send to Mexico one of his employees, an accountant also cursed with super bad luck, to find her. Perhaps he will be lucky, and his bad luck could help to find the unlucky girl..."
Danny Elfman,The Flash,1990,music department,7.1,"Action, Crime, Fantasy, Sci-Fi",,"In a freak accident, police crime scene investigator Barry Allen is struck by lightning and doused in chemicals. Barry discovers that this accident gave him the power to move at nearly the speed of sound. With help from STAR Labs scientist Tina McGee, he learns to control his powers, but when his motorcycle-cop older brother Jay is killed in the line of duty, Barry asks Tina to make him a special costume that can withstand the rigors of hyperspeed travel: he is determined to clean up the streets of Central City as The Flash."
Danny Elfman,The Simpsons: Bart's House of Weirdness,1991,music department,5.1,"Action, Adventure",,"Bart Simpson has been sent to his room and it's up to you to help him escape and collect the items he'll need to rescue his hero Krusty the Clown. Along with the standard side scroller jump/duck, Bart is armed with a variety of weapons such as a slingshot, spray paint, and water balloons which he can use to dispatch the space mutants, basement ghosts, and other uncool things getting in his way. There are six levels for exploration including a spider infested attic, the Springfield Mall, and a twisted Itchy & Scratchy dream world. Ultimately, when Bart manages to complete all the levels, he is taken to Krustyland for a final showdown with his nemesis Sideshow Bob."
Danny Elfman,The Simpsons: Bart vs. the Space Mutants,1991,music department,5.5,"Action, Adventure, Comedy, Sci-Fi",Garry Kitchen,N/A
Danny Elfman,Sledge Hammer!,N/A,music department,8.1,"Action, Comedy",,"""HAMMERED: The Best of Sledge"" (Laserdisc) - Prepare yourself for four crime stories that pack more punch than Sledge Hammer's trusty Magnum. And loaded with more misadventure than there is air between Sledge's ears. Our hero find himself up against the likes of the infamous Elvis impersonator serial killer, a powerful Mafioso Don, the sex-starved Elizabeth, and a violent revolutionary. Armed only with a Magnum, grenades, several Uzi machine-guns, and a bazooka, our hero singlehandedly makes the streets safe again for law-abiding citizens."
Danny Elfman,Fast Times,1986,music department,5.6,Comedy,,N/A
Danny Elfman,Pee-wee's Big Adventure,1985,music department,7,"Adventure, Comedy, Family",Tim Burton,"The cartoonish and childish character Pee-wee Herman goes on a big adventure for the first time ever when his beloved shiny new bicycle is stolen by his nemesis Francis Buxton, a fellow man-child and neighborhood rich ""kid."" And he sets off on an obsessive cross-country journey, determined to recover it. Pee-wee's awkward and childish attempts to be cool and mature."
Danny Elfman,Forbidden Zone,1980,music department,6.5,"Comedy, Fantasy, Musical",Richard Elfman,"A mysterious door in the basement of the Hercules house leads to the Sixth Dimension by way of a gigantic set of intestine. When Frenchy slips through the door, King Fausto falls in love with her. The jealous Queen Doris takes Frenchy prisoner, and it is up to the Hercules family and friend Squeezit Henderson to rescue her."
Danny Elfman,Bloody Bridget 2,N/A,composer,N/A,"Comedy, Horror, Music",Richard Elfman,N/A
Danny Elfman,Forbidden Zone 2:,N/A,composer,N/A,"Comedy, Fantasy, Musical",Richard Elfman,N/A
Danny Elfman,Beetlejuice 2,2024,composer,N/A,"Comedy, Fantasy, Horror",Tim Burton,N/A
Danny Elfman,Khodzha Nasreddin,2024,composer,N/A,"Animation, Adventure, Comedy",Timur Bekmambetov,N/A
Danny Elfman,Rhona Who Lives by the River,2023,composer,N/A,"Animation, Musical",,N/A
Danny Elfman,The Grand Finale,2023,composer,N/A,Fantasy,Abhishek Dixit,N/A
Danny Elfman,Bloody Bridget,2023,composer,6.3,"Comedy, Horror, Music",Richard Elfman,"Music driven horror-comedy. A voodoo deity transforms burlesque dancer into a ""Valentine vampire."" Blood only whets her appetite--she must eat her victims beating hearts. Baron Samedi drinks rum, smokes cigars and chases after mortal women. His wife, Maman Brigitte, is the red-haired Celtic goddess ""Brigid"" of Irish mythology, adopted in Haiti as their goddess of Death. Women seek her for protection--and justice. Bridget O'Brien is a red-haired waitress and burlesque dancer at a Van Nuys dive bar. She is exploited by her boss, her boyfriend and finally a sleazy attorney who attacks her--only to have her arrested for assault. Then comes the abusive prison matron. Finally, Bridget attempts to take her life. But Baron Samedi intervenes, thinking her the reincarnation of his disappeared wife. Bridget is empowered as a ""Valentine vampire."" ""What is that?"" she asks. ""Oh, you shall see!"" says the Baron. Blood tastes good, but is not enough--she must feast on the hearts of evil-doers."
Danny Elfman,Carnage Collection: Vicious Violence & Vengeance,2023,composer,N/A,Horror,"Charles Band, Richard Elfman, David Schmoeller",N/A
Danny Elfman,65,2023,composer,5.4,"Action, Adventure, Drama, Sci-Fi, Thriller","Scott Beck, Bryan Woods","After a catastrophic crash, pilot Mills quickly discovers he's actually stranded on an unknown planet. Now, with only one chance at rescue, Mills must make his way across an unknown terrain riddled with dangerous prehistoric creatures in an epic fight to survive. From the writers of A Quiet Place comes 65, a sci-fi thriller produced by Sam Raimi, Deborah Liebling, Zainab Azizi, Scott Beck and Bryan Woods."
Danny Elfman,Wednesday,2022,composer,8.1,"Comedy, Crime, Fantasy, Mystery",,"A sleuthing, supernaturally infused mystery charting Wednesday Addams' years as a student at Nevermore Academy. Wednesday's attempts to master her emerging psychic ability, thwart a monstrous killing spree that has terrorized the local town, and solve the supernatural mystery that embroiled her parents 25 years ago - all while navigating her new and very tangled relationships at Nevermore."
Danny Elfman,White Noise,N/A,composer,5.7,"Comedy, Drama, Horror, Mystery",Noah Baumbach,"At once hilarious and horrifying, lyrical and absurd, ordinary and apocalyptic, ""White Noise"" dramatizes a contemporary American family's attempts to deal with the mundane conflicts of everyday life while grappling with the universal mysteries of love, death, and the possibility of happiness in an uncertain world."
Danny Elfman,Doctor Strange in the Multiverse of Madness,2022,composer,6.9,"Action, Adventure, Fantasy, Horror, Sci-Fi",Sam Raimi,"Following the events of Spider-Man No Way Home, Doctor Strange unwittingly casts a forbidden spell that accidentally opens up the multiverse. With help from Wong and Scarlet Witch, Strange confronts various versions of himself as well as teaming up with the young America Chavez while traveling through various realities and working to restore reality as he knows it. Along the way, Strange and his allies realize they must take on a powerful new adversary who seeks to take over the multiverse."
Danny Elfman,Parker: A Spider Man Origin Story,2021,composer,N/A,Animation,"Chris Juarez, Neil Vergara",N/A
Danny Elfman,The Woman in the Window,2021,composer,5.7,"Crime, Drama, Mystery, Thriller",Joe Wright,"Living in denial, the depressed, pill-popping child psychologist, Anna Fox, has holed herself up in her eerily vacant, ill-lit Manhattan brownstone apartment for the past ten long months, separated from her husband and their eight-year-old daughter. While unsuccessfully grappling with agoraphobia and intense panic attacks, suddenly, the Russells move in across the street, and brimming with curiosity, Anna decides to distract attention away from her problems by peeking into the lives of the unsuspecting new tenants. Then, one night, tensions flare, a deadly kitchen knife gleams in the dim light, and before long, someone ends up dead. Has troubled Anna, indeed, witnessed a gruesome scene of blood-stained domestic violence or is her wine-addled mind playing cruel tricks on her?"
Danny Elfman,The Nightmare Before Christmas in Concert,2020,composer,7.5,"Family, Musical",James Monroe Iglehart,"The Actors Fund and the Lymphoma Research Foundation are proud to announce a one-night-only virtual Halloween benefit concert presentation of the songs from Tim Burton's The Nightmare Before Christmas, Disney's classic animated film, as interpreted by some of Broadway's most ghoulishly talented artists. The evening will be presented by Tony Award winner James Monroe Iglehart, in cooperation with Tim Burton, Danny Elfman and Disney Music Group. The terrifyingly tantalizing one-night-only event will be available to stream for 24 hours, beginning Saturday, October 31 at 7 pm ET. James Monroe Iglehart, who dazzled audiences as the Genie in his Tony Award-winning performance in Disney Theatrical's Aladdin, and his Broadway friends, using only items and clothing found around their house combined with their imaginations, will bring this delightful evening of music, storytelling and Halloween fun to life for one-night-only."
Danny Elfman,Joe Biden Biography,2020,composer,N/A,"Documentary, Short",Davis Guggenheim,N/A
Danny Elfman,Dolittle,2020,composer,5.6,"Adventure, Comedy, Family, Fantasy",Stephen Gaghan,"After his wife's death, Dr. John Dolittle (Robert Downey, Jr.) decided to hide from the world with his beloved animals. But he has to take a journey to a mysterious island to find a healing tree, which is the only medicine that can help the dying Queen Victoria (Jessie Buckley) in Buckingham Palace."
Danny Elfman,Cine Chalom,2019,composer,N/A,Talk-Show,,N/A
Danny Elfman,"Aliens, Clowns & Geeks",2019,composer,5.4,"Comedy, Sci-Fi",Richard Elfman,N/A
Danny Elfman,Men in Black: International,2019,composer,5.6,"Action, Adventure, Comedy, Sci-Fi",F. Gary Gray,"After an eye-opening encounter of the third kind, the secret MiB organisation's newest recruit, Agent M, finds herself under the wing of the heroic Agent H in cosmopolitan London, when a shape-shifting duo of intergalactic assassins executes an alien aristocrat. Now, with a devastating super-weapon of mass destruction hidden somewhere on Earth, the Men in Black will leave no stone unturned to retrieve it. However, heavy clouds of mistrust and a scent of betrayal envelop the once-incorruptible agency. Is there a well-placed mole in their midst?"
