cname,tname,year,role,,,,
Danny Elfman,The Simpsons: Bart's House of Weirdness,1991,music department,,,,
Danny Elfman,The Simpsons: Bart vs. the Space Mutants,1991,music department,,,,
Danny Elfman,Sledge Hammer!,N/A,music department,,,,
Danny Elfman,Fast Times,1986,music department,,,,
Danny Elfman,Pee-wee's Big Adventure,1985,music department,,,,
Danny Elfman,Forbidden Zone,1980,music department,,,,
Danny Elfman,Bloody Bridget 2,N/A,composer,,,,
Danny Elfman,Forbidden Zone 2:,N/A,composer,,,,
Danny Elfman,Beetlejuice 2,2024,composer,,,,
Danny Elfman,Khodzha Nasreddin,2024,composer,,,,
Danny Elfman,Rhona Who Lives by the River,2023,composer,,,,
Danny Elfman,The Grand Finale,2023,composer,,,,
Danny Elfman,Bloody Bridget,2023,composer,,,,
Danny Elfman,Carnage Collection: Vicious Violence & Vengeance,2023,composer,,,,
Danny Elfman,65,2023,composer,,,,
Danny Elfman,Wednesday,2022,composer,,,,
Danny Elfman,White Noise,N/A,composer,,,,
Danny Elfman,Doctor Strange in the Multiverse of Madness,2022,composer,,,,
Danny Elfman,Parker: A Spider Man Origin Story,2021,composer,,,,
Danny Elfman,The Woman in the Window,2021,composer,,,,
Danny Elfman,The Nightmare Before Christmas in Concert,2020,composer,,,,
Danny Elfman,Joe Biden Biography,2020,composer,,,,
Danny Elfman,Dolittle,2020,composer,,,,
Danny Elfman,Cine Chalom,2019,composer,,,,
Danny Elfman,"Aliens, Clowns & Geeks",2019,composer,,,,
Danny Elfman,Men in Black: International,2019,composer,,,,
Danny Elfman,Dumbo,2019,composer,,,,
Danny Elfman,The Grinch,2018,composer,,,,
Danny Elfman,Do You Believe in Ghosts?,2018,composer,,,,
Danny Elfman,Fifty Shades Freed,2018,composer,,,,
Danny Elfman,"Don't Worry, He Won't Get Far on Foot",2018,composer,,,,
Danny Elfman,Justice League,2017,composer,,,,
Danny Elfman,Tulip Fever,2017,composer,,,,
Danny Elfman,Tau,2017,composer,,,,
Danny Elfman,A Glory Sewn,2017,composer,,,,
Danny Elfman,The Circle,N/A,composer,,,,
Danny Elfman,When We Rise,2017,composer,,,,
Danny Elfman,Fifty Shades Darker,2017,composer,,,,
Danny Elfman,The Girl on the Train,2016,composer,,,,
Danny Elfman,Alice Through the Looking Glass,2016,composer,,,,
Danny Elfman,Before I Wake,2016,composer,,,,
Danny Elfman,The Oscars,2016,composer,,,,
Danny Elfman,Goosebumps,2015,composer,,,,
Danny Elfman,Avengers: Age of Ultron,2015,composer,,,,
Danny Elfman,Fifty Shades of Grey,2015,composer,,,,
Danny Elfman,The End of the Tour,2015,composer,,,,
Danny Elfman,Tales from the Crypt,2014,composer,,,,
Danny Elfman,Big Eyes,N/A,composer,,,,
Danny Elfman,Mr. Peabody & Sherman,2014,composer,,,,
Danny Elfman,American Hustle,2013,composer,,,,
Danny Elfman,The Unknown Known,2013,composer,,,,
Danny Elfman,Epic,2013,composer,,,,
Danny Elfman,Oz the Great and Powerful,2013,composer,,,,
Danny Elfman,Captain Sparky vs. The Flying Saucers,2013,composer,,,,
Danny Elfman,Promised Land,2012,composer,,,,
Danny Elfman,Hitchcock,2012,composer,,,,
Danny Elfman,Frankenweenie,2012,composer,,,,
Danny Elfman,Silver Linings Playbook,2012,composer,,,,
Danny Elfman,Gun Test,2012,composer,,,,
Danny Elfman,Men in Black 3,2012,composer,,,,
Danny Elfman,Dark Shadows,2012,composer,,,,
Danny Elfman,Real Steel,2011,composer,,,,
Danny Elfman,A Conversation with Danny Elfman and Tim Burton,2011,composer,,,,
Danny Elfman,Do Not Disturb,N/A,composer,,,,
Danny Elfman,Restless,N/A,composer,,,,
Danny Elfman,The Fight for the Last Cookie,2010,composer,,,,
Danny Elfman,The Next Three Days,2010,composer,,,,
Danny Elfman,Alice in Wonderland,N/A,composer,,,,
Danny Elfman,Ooozetoons!,2010,composer,,,,
Danny Elfman,The Wolfman,2010,composer,,,,
Danny Elfman,The Dollar,2009,composer,,,,
Danny Elfman,Taking Woodstock,2009,composer,,,,
Danny Elfman,Terminator Salvation,2009,composer,,,,
Danny Elfman,Notorious,2009,composer,,,,
Danny Elfman,Milk,N/A,composer,,,,
Danny Elfman,Proud Iza,2008,composer,,,,
Danny Elfman,The Call,2008,composer,,,,
Danny Elfman,Hellboy II: The Golden Army,2008,composer,,,,
Danny Elfman,Wanted,2008,composer,,,,
Danny Elfman,Standard Operating Procedure,2008,composer,,,,
